,year,month,area,type,kw
386,2018,2,4,3,6175335
387,2018,2,4,4,166663085
388,2018,2,4,5,6368285
389,2018,2,4,6,2490552
390,2018,2,4,7,4240071
391,2018,2,4,0,309939821
392,2018,2,5,1,27598767
393,2018,2,5,2,30853462
394,2018,2,5,3,3630948
395,2018,2,5,4,3410133
396,2018,2,5,5,1233226
397,2018,2,5,6,1107469
398,2018,2,5,7,3481225
399,2018,2,5,0,71315230
400,2019,2,1,1,12727329
401,2019,2,1,2,33178254
402,2019,2,1,3,3530102
403,2019,2,1,4,2675745
404,2019,2,1,5,109437
405,2019,2,1,6,823545
406,2019,2,1,7,2006882
407,2019,2,1,0,55051294
408,2019,2,2,1,38729294
409,2019,2,2,2,70519787
410,2019,2,2,3,1821679
411,2019,2,2,4,22716978
412,2019,2,2,5,749331
413,2019,2,2,6,1291563
414,2019,2,2,7,2348154
415,2019,2,2,0,138176786
416,2019,2,3,1,53317305
417,2019,2,3,2,67095883
418,2019,2,3,3,11522216
419,2019,2,3,4,55005138
420,2019,2,3,5,2271111
421,2019,2,3,6,1840033
422,2019,2,3,7,4484878
423,2019,2,3,0,195536564
424,2019,2,4,1,49297564
425,2019,2,4,2,67558429
426,2019,2,4,3,4656063
427,2019,2,4,4,153216420
428,2019,2,4,5,5907547
429,2019,2,4,6,2565664
430,2019,2,4,7,3479724
431,2019,2,4,0,286681411
432,2019,2,5,1,27350383
433,2019,2,5,2,27590513
434,2019,2,5,3,2776292
435,2019,2,5,4,3260154
436,2019,2,5,5,1251277
437,2019,2,5,6,1194030
438,2019,2,5,7,2929835
439,2019,2,5,0,66352484
440,2020,2,1,1,13472802
441,2020,2,1,2,32717527
442,2020,2,1,3,3340279
443,2020,2,1,4,2677537
444,2020,2,1,5,105071
445,2020,2,1,6,800760
446,2020,2,1,7,1648945
447,2020,2,1,0,54762921
448,2020,2,2,1,39125323
449,2020,2,2,2,68871446
450,2020,2,2,3,1749769
451,2020,2,2,4,23408909
452,2020,2,2,5,635475
453,2020,2,2,6,1267342
454,2020,2,2,7,2132508
455,2020,2,2,0,137190772
456,2020,2,3,1,54198001
457,2020,2,3,2,65428494
458,2020,2,3,3,11480376
459,2020,2,3,4,57242458
460,2020,2,3,5,2245417
461,2020,2,3,6,1920132
462,2020,2,3,7,3816272
463,2020,2,3,0,196331150
464,2020,2,4,1,50884764
465,2020,2,4,2,66982151
466,2020,2,4,3,4437972
467,2020,2,4,4,152677641
468,2020,2,4,5,5503812
469,2020,2,4,6,2656110
470,2020,2,4,7,3102705
471,2020,2,4,0,286245155
472,2020,2,5,1,27999732
473,2020,2,5,2,27335493
474,2020,2,5,3,2576301
475,2020,2,5,4,3030925
476,2020,2,5,5,1063841
477,2020,2,5,6,1152689
478,2020,2,5,7,2379248
479,2020,2,5,0,65538229
480,2021,2,1,1,14844779
481,2021,2,1,2,32050257
482,2021,2,1,3,3549485
483,2021,2,1,4,2730566
484,2021,2,1,5,110716
485,2021,2,1,6,822730
486,2021,2,1,7,1582376
487,2021,2,1,0,55690909
488,2021,2,2,1,40569523
489,2021,2,2,2,69143417
490,2021,2,2,3,1791633
491,2021,2,2,4,24658267
492,2021,2,2,5,636676
493,2021,2,2,6,1135540
494,2021,2,2,7,2091206
495,2021,2,2,0,140026262
496,2021,2,3,1,56303793
497,2021,2,3,2,65393073
498,2021,2,3,3,11806593
499,2021,2,3,4,56296522
500,2021,2,3,5,2274150
501,2021,2,3,6,1764200
502,2021,2,3,7,3706854
503,2021,2,3,0,197545185
504,2021,2,4,1,54301590
505,2021,2,4,2,69014764
506,2021,2,4,3,4936618
507,2021,2,4,4,167987616
508,2021,2,4,5,5549436
509,2021,2,4,6,2476623
510,2021,2,4,7,3055364
511,2021,2,4,0,307322011
512,2021,2,5,1,28923442
513,2021,2,5,2,27296786
514,2021,2,5,3,2708946
515,2021,2,5,4,3149202
516,2021,2,5,5,1063675
517,2021,2,5,6,1123383
518,2021,2,5,7,2377606
519,2021,2,5,0,66643040
520,2022,2,1,1,15320399
521,2022,2,1,2,33960749
522,2022,2,1,3,3413818
523,2022,2,1,4,3034791
524,2022,2,1,5,185883
525,2022,2,1,6,820763
526,2022,2,1,7,1519931
527,2022,2,1,0,58256334
528,2022,2,2,1,40638984
529,2022,2,2,2,72205123
530,2022,2,2,3,1868664
531,2022,2,2,4,24230134
532,2022,2,2,5,590700
533,2022,2,2,6,1133916
534,2022,2,2,7,1976695
535,2022,2,2,0,142644216
