,month,date,customer,demand_max(Wh),usage(kWh)
352,12,19,722015,"45,584,705.62","11,941,542.96"
353,12,20,722566,"83,277,250.03","19,216,864.87"
354,12,21,723201,"66,789,334.27","17,028,310.49"
355,12,22,722783,"39,350,279.47","10,424,313.28"
356,12,23,722917,"53,547,797.83","11,256,530.03"
357,12,24,723036,"52,786,920.02","13,781,619.76"
358,12,25,723044,"61,560,756.41","16,404,019.44"
359,12,26,722921,"78,272,118.67","20,344,289.78"
360,12,27,722925,"81,378,863.04","17,271,923.61"
361,12,28,724120,"87,387,746.14","13,906,304.21"
362,12,29,724317,"52,259,810.21","13,551,904.46"
363,12,30,724111,"123,001,864.68","19,575,333.57"
364,12,31,723981,"53,408,419.92","15,011,622.00"
