,year,month,day,temp,cloud,rainfall_total,Humidity_mean,solar,customer,wh,kwh
173,2021,6,23,23,6.8,0.2,81.1,15.77,671992,78960331.49,14317723.49
174,2021,6,24,23,7.1,0,79.6,16.34,672116,95089127.71,14231694.34
175,2021,6,25,23.4,6.8,6.4,81.1,18.37,673310,76446931.66,10711804
176,2021,6,26,23.9,8.1,0.3,79.3,17.02,673736,84653734.03,16580475.26
177,2021,6,27,24.7,5.1,0.9,76.4,19.62,673698,111978053.9,15544938.39
178,2021,6,28,22.8,5.4,18.8,91.3,15.34,673776,192497183.1,12040564.72
179,2021,6,29,23.2,6.9,1.1,88.3,18.5,673776,60948337.87,12071621.06
180,2021,6,30,23.9,7,3,84.6,16.01,673776,53660414.69,12642546.97
181,2021,7,1,25.7,4.8,0,77.6,23.86,673509,148136549.7,14798273.28
182,2021,7,2,26.1,7.1,0,81.8,17.21,673450,54033560.71,12404048.85
183,2021,7,3,23.7,9,27,93.9,5.56,673622,61537154.5,10778514.5
184,2021,7,4,23.1,9.6,1.6,96.6,8.93,673581,406263341.5,15989710.92
185,2021,7,5,21.9,10,29.1,98.6,5.21,673334,51015877.87,11935560.8
186,2021,7,6,23.1,10,119.5,99,3.27,672730,50906291.81,10499231.76
187,2021,7,7,25.2,10,17.9,99,7,672731,53395254.96,11764084.23
188,2021,7,8,25.6,9.5,0.9,96.9,11.66,673744,66420723.98,13049646.04
189,2021,7,9,25.8,7.5,4.2,94.4,17.77,673394,97507069.56,12959526.23
190,2021,7,10,26.4,5.6,0,90.9,19.24,673551,66382509.58,13101207.22
191,2021,7,11,27.2,6.1,0,90.5,17.66,673388,53454142.1,12807565.43
192,2021,7,12,28.1,6.5,0,87.5,21.16,673571,50518010.11,12107383.07
193,2021,7,13,28.4,5.6,0,81.5,22.3,673211,115262442.5,16012656.61
194,2021,7,14,28.2,7.9,0,84.8,16.15,673236,47453105.02,11702399.51
195,2021,7,15,28.7,6,0,78.4,26.02,672764,102445967.5,14114530.65
196,2021,7,16,25.9,5.4,1.4,92.5,18,672783,101161756.8,13290844.74
197,2021,7,17,26.2,5.6,0.2,82.1,23.31,672347,91590125.59,12186995.82
198,2021,7,18,27.3,5.9,0,77.8,22.12,672534,64355357.26,12079098.95
199,2021,7,19,27.8,6,0,78.4,20.79,672344,77499564.05,14344592.27
200,2021,7,20,27.7,7.5,0,81.5,17.52,672336,48673918.32,13386126.03
201,2021,7,21,29,3.8,0,74.6,26.22,672130,56336968.94,13905745.44
