,cloud,year,month,day,date,temp,rainfall_total,Humidity_mean,solar
166,7.1,2021,6,16,2021-06-16,23.4,0.0,76.9,24.6
167,8.6,2021,6,17,2021-06-17,22.4,0.9,82.9,10.65
168,9.6,2021,6,18,2021-06-18,21.3,4.1,97.4,0.0
169,4.6,2021,6,19,2021-06-19,23.1,0.0,80.0,24.58
170,5.8,2021,6,20,2021-06-20,24.0,0.0,64.8,27.47
171,1.9,2021,6,21,2021-06-21,25.1,0.0,55.4,30.89
172,3.6,2021,6,22,2021-06-22,24.3,0.0,70.0,25.03
173,6.8,2021,6,23,2021-06-23,23.0,0.2,81.1,15.77
174,7.1,2021,6,24,2021-06-24,23.0,0.0,79.6,16.34
175,6.8,2021,6,25,2021-06-25,23.4,6.4,81.1,18.37
176,8.1,2021,6,26,2021-06-26,23.9,0.3,79.3,17.02
177,5.1,2021,6,27,2021-06-27,24.7,0.9,76.4,19.62
178,5.4,2021,6,28,2021-06-28,22.8,18.8,91.3,15.34
179,6.9,2021,6,29,2021-06-29,23.2,1.1,88.3,18.5
180,7.0,2021,6,30,2021-06-30,23.9,3.0,84.6,16.01
181,4.8,2021,7,1,2021-07-01,25.7,0.0,77.6,23.86
182,7.1,2021,7,2,2021-07-02,26.1,0.0,81.8,17.21
183,9.0,2021,7,3,2021-07-03,23.7,27.0,93.9,5.56
184,9.6,2021,7,4,2021-07-04,23.1,1.6,96.6,8.93
185,10.0,2021,7,5,2021-07-05,21.9,29.1,98.6,5.21
186,10.0,2021,7,6,2021-07-06,23.1,119.5,99.0,3.27
187,10.0,2021,7,7,2021-07-07,25.2,17.9,99.0,7.0
188,9.5,2021,7,8,2021-07-08,25.6,0.9,96.9,11.66
189,7.5,2021,7,9,2021-07-09,25.8,4.2,94.4,17.77
190,5.6,2021,7,10,2021-07-10,26.4,0.0,90.9,19.24
191,6.1,2021,7,11,2021-07-11,27.2,0.0,90.5,17.66
192,6.5,2021,7,12,2021-07-12,28.1,0.0,87.5,21.16
193,5.6,2021,7,13,2021-07-13,28.4,0.0,81.5,22.3
194,7.9,2021,7,14,2021-07-14,28.2,0.0,84.8,16.15
195,6.0,2021,7,15,2021-07-15,28.7,0.0,78.4,26.02
196,5.4,2021,7,16,2021-07-16,25.9,1.4,92.5,18.0
197,5.6,2021,7,17,2021-07-17,26.2,0.2,82.1,23.31
198,5.9,2021,7,18,2021-07-18,27.3,0.0,77.8,22.12
199,6.0,2021,7,19,2021-07-19,27.8,0.0,78.4,20.79
200,7.5,2021,7,20,2021-07-20,27.7,0.0,81.5,17.52
201,3.8,2021,7,21,2021-07-21,29.0,0.0,74.6,26.22
202,4.8,2021,7,22,2021-07-22,28.7,0.0,70.5,23.56
203,6.8,2021,7,23,2021-07-23,28.7,0.0,70.9,22.38
204,7.9,2021,7,24,2021-07-24,29.1,0.0,68.3,22.86
205,6.6,2021,7,25,2021-07-25,29.0,0.0,61.5,22.94
206,5.1,2021,7,26,2021-07-26,28.3,0.0,67.3,20.25
207,1.8,2021,7,27,2021-07-27,28.3,0.0,67.9,19.96
208,4.4,2021,7,28,2021-07-28,28.9,0.0,71.9,19.15
209,4.9,2021,7,29,2021-07-29,29.0,0.0,72.9,20.75
210,6.3,2021,7,30,2021-07-30,28.1,0.4,77.5,20.07
211,6.3,2021,7,31,2021-07-31,29.1,25.4,80.1,23.36
212,8.6,2021,8,1,2021-08-01,28.2,1.0,86.3,16.19
213,9.3,2021,8,2,2021-08-02,26.9,45.3,96.1,12.71
214,7.0,2021,8,3,2021-08-03,27.0,9.9,90.5,17.07
215,3.4,2021,8,4,2021-08-04,28.6,0.0,79.5,23.1
216,4.1,2021,8,5,2021-08-05,28.8,0.0,79.3,18.02
217,3.8,2021,8,6,2021-08-06,26.6,59.4,85.0,24.15
218,4.8,2021,8,7,2021-08-07,27.8,0.0,79.1,25.37
219,7.6,2021,8,8,2021-08-08,26.0,5.0,91.0,10.24
220,5.0,2021,8,9,2021-08-09,27.2,0.0,81.3,25.99
221,7.0,2021,8,10,2021-08-10,27.6,0.0,80.6,20.12
222,5.3,2021,8,11,2021-08-11,26.5,0.0,83.1,17.82
223,7.1,2021,8,12,2021-08-12,26.3,0.6,84.8,14.3
224,9.3,2021,8,13,2021-08-13,25.6,4.0,90.0,11.44
